time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
916.79935426,0.00461322,0.00079808,0.00000178,10210.00000000,0.00505307,0.000000,0.000000
916.89998610,0.00462147,0.00158236,0.00000135,10223.00000000,0.00770476,0.000000,0.000000
916.99982822,0.00462980,0.00154068,0.00000134,10215.00000000,0.00775508,0.000000,0.000000
917.09966510,0.00463107,0.00077761,0.00000179,10304.00000000,0.00510876,0.000000,0.000000
917.19950058,0.00462995,0.00088421,0.00000166,10343.00000000,0.00420828,0.000000,0.000000
917.29934395,0.00463253,0.00095419,0.00000205,9957.00000000,0.00560741,0.000000,0.000000
917.39998977,0.00464347,0.00144130,0.00000144,10034.00000000,0.00878696,0.000000,0.000000
917.49982907,0.00464144,0.00070866,0.00000152,10118.00000000,0.00387050,0.000000,0.000000
917.59967483,0.00464931,0.00080527,0.00000187,10193.00000000,0.00764710,0.000000,0.000000
917.69952405,0.00464802,0.00086263,0.00000161,10272.00000000,0.00415769,0.000000,0.000000
917.79936411,0.00465738,0.00122852,0.00000385,10314.00000000,0.00824049,0.000000,0.000000
917.89999271,0.00466815,0.00120097,0.00000306,10384.00000000,0.00880499,0.000000,0.000000
917.99981491,0.00467206,0.00121452,0.00000179,10463.00000000,0.00617873,0.000000,0.000000
918.09964977,0.00467092,0.00084920,0.00000160,10528.00000000,0.00422986,0.000000,0.000000
918.19949565,0.00467086,0.00104313,0.00000169,10536.00000000,0.00464895,0.000000,0.000000
918.29933844,0.00468083,0.00162802,0.00000150,10564.00000000,0.00854719,0.000000,0.000000
918.39995970,0.00468433,0.00086024,0.00000196,10592.00000000,0.00604433,0.000000,0.000000
918.49979276,0.00468866,0.00097852,0.00000220,10620.00000000,0.00638012,0.000000,0.000000
918.59963132,0.00469097,0.00093112,0.00000181,10651.00000000,0.00559244,0.000000,0.000000
918.69946300,0.00469486,0.00122358,0.00000176,10665.00000000,0.00622166,0.000000,0.000000
918.79929928,0.00469840,0.00090192,0.00000191,10676.00000000,0.00608994,0.000000,0.000000
918.89994464,0.00470050,0.00089654,0.00000178,10717.00000000,0.00552823,0.000000,0.000000
918.99978764,0.00470463,0.00117640,0.00000187,10824.00000000,0.00633421,0.000000,0.000000
919.09963368,0.00471169,0.00210448,0.00000240,10850.00000000,0.00750883,0.000000,0.000000
919.19947676,0.00471355,0.00082471,0.00000180,10845.00000000,0.00545136,0.000000,0.000000
919.29931016,0.00471293,0.00085089,0.00000162,10850.00000000,0.00446605,0.000000,0.000000
919.39994626,0.00471823,0.00145973,0.00000185,10888.00000000,0.00683422,0.000000,0.000000
919.49978818,0.00471844,0.00091962,0.00000167,10876.00000000,0.00480073,0.000000,0.000000
919.59962286,0.00472964,0.00162917,0.00000167,10918.00000000,0.00922231,0.000000,0.000000
919.69945652,0.00472907,0.00087322,0.00000159,10983.00000000,0.00450011,0.000000,0.000000
919.79928540,0.00472882,0.00088506,0.00000159,10942.00000000,0.00462692,0.000000,0.000000
919.89992540,0.00472899,0.00089422,0.00000162,10974.00000000,0.00479614,0.000000,0.000000
919.99976800,0.00473477,0.00083922,0.00000169,11031.00000000,0.00707835,0.000000,0.000000
920.09961998,0.00473468,0.00093740,0.00000160,11061.00000000,0.00469554,0.000000,0.000000
920.19946264,0.00473466,0.00097561,0.00000158,11112.00000000,0.00472707,0.000000,0.000000
920.29928312,0.00474717,0.00308293,0.00000181,11106.00000000,0.00985057,0.000000,0.000000
920.39992778,0.00475541,0.00126749,0.00000276,11044.00000000,0.00812678,0.000000,0.000000
920.49976508,0.00475765,0.00089507,0.00000211,11104.00000000,0.00567651,0.000000,0.000000
920.59959472,0.00476353,0.00090939,0.00000212,11137.00000000,0.00717858,0.000000,0.000000
920.69942854,0.00476755,0.00145393,0.00000176,11197.00000000,0.00642382,0.000000,0.000000
920.79966176,0.00477238,0.00093142,0.00000199,10758.00000000,0.00676903,0.000000,0.000000
920.89949716,0.00477294,0.00088770,0.00000160,10842.00000000,0.00500436,0.000000,0.000000
920.99934652,0.00477521,0.00079891,0.00000166,10890.00000000,0.00571642,0.000000,0.000000
921.09999392,0.00477543,0.00089053,0.00000161,10955.00000000,0.00486922,0.000000,0.000000
921.19983082,0.00477964,0.00087533,0.00000207,11001.00000000,0.00653259,0.000000,0.000000
921.29966843,0.00477921,0.00080452,0.00000155,11046.00000000,0.00460079,0.000000,0.000000
921.39950623,0.00477900,0.00080778,0.00000155,11091.00000000,0.00468981,0.000000,0.000000
921.49934205,0.00478040,0.00117181,0.00000166,11159.00000000,0.00536756,0.000000,0.000000
921.59998693,0.00478229,0.00096970,0.00000179,11241.00000000,0.00557756,0.000000,0.000000
921.69982289,0.00478631,0.00118669,0.00000181,11246.00000000,0.00648534,0.000000,0.000000
921.79967463,0.00479064,0.00156277,0.00000176,11253.00000000,0.00662320,0.000000,0.000000
921.89950833,0.00478993,0.00088352,0.00000156,11323.00000000,0.00448695,0.000000,0.000000
921.99934803,0.00479366,0.00113241,0.00000179,11358.00000000,0.00637747,0.000000,0.000000
922.09999017,0.00480000,0.00153515,0.00000256,11384.00000000,0.00750366,0.000000,0.000000
922.19981641,0.00479864,0.00077044,0.00000159,11392.00000000,0.00421627,0.000000,0.000000
922.29964877,0.00479666,0.00071414,0.00000155,11440.00000000,0.00394846,0.000000,0.000000
922.39948959,0.00479794,0.00164945,0.00000156,11500.00000000,0.00534845,0.000000,0.000000
922.49934095,0.00479696,0.00091192,0.00000151,11130.00000000,0.00437606,0.000000,0.000000
922.59997613,0.00479778,0.00086053,0.00000166,11215.00000000,0.00515097,0.000000,0.000000
922.69982269,0.00479743,0.00083662,0.00000157,11281.00000000,0.00464624,0.000000,0.000000
922.79966991,0.00480158,0.00101200,0.00000184,11392.00000000,0.00659795,0.000000,0.000000
922.89949979,0.00479932,0.00086811,0.00000148,11465.00000000,0.00381787,0.000000,0.000000
922.99935341,0.00480416,0.00173568,0.00000164,11587.00000000,0.00690822,0.000000,0.000000
923.09998435,0.00480795,0.00141017,0.00000169,11702.00000000,0.00646226,0.000000,0.000000
